Time [sec] - Plot 0	Current [mA] - Plot 0
0	1,5
1	1,50095
2	1,50189
3	1,50284
4	1,50379
5	1,50473
6	1,50568
7	1,50663
8	1,50757
9	1,50852
10	1,50947
11	1,51041
12	1,51136
13	1,5123
14	1,51325
15	1,51419
16	1,51514
17	1,51608
18	1,51703
19	1,51797
20	1,51892
21	1,51986
22	1,52081
23	1,52175
24	1,5227
25	1,52364
26	1,52458
27	1,52553
28	1,52647
29	1,52742
30	1,52836
31	1,5293
32	1,53025
33	1,53119
34	1,53213
35	1,53307
36	1,53402
37	1,53496
38	1,5359
39	1,53685
40	1,53779
41	1,53873
42	1,53967
43	1,54061
44	1,54156
45	1,5425
46	1,54344
47	1,54438
48	1,54532
49	1,54626
50	1,5472
51	1,54814
52	1,54909
53	1,55003
54	1,55097
55	1,55191
56	1,55285
57	1,55379
58	1,55473
59	1,55567
60	1,55661
61	1,55755
62	1,55849
63	1,55943
64	1,56037
65	1,56131
66	1,56224
67	1,56318
68	1,56412
69	1,56506
70	1,566
71	1,56694
72	1,56788
73	1,56881
74	1,56975
75	1,57069
76	1,57163
77	1,57257
78	1,5735
79	1,57444
80	1,57538
81	1,57632
82	1,57725
83	1,57819
84	1,57913
85	1,58007
86	1,581
87	1,58194
88	1,58287
89	1,58381
90	1,58475
91	1,58568
92	1,58662
93	1,58756
94	1,58849
95	1,58943
96	1,59036
97	1,5913
98	1,59223
99	1,59317
100	1,5941
101	1,59504
102	1,59597
103	1,59691
104	1,59784
105	1,59878
106	1,59971
107	1,60065
108	1,60158
109	1,60251
110	1,60345
111	1,60438
112	1,60532
113	1,60625
114	1,60718
115	1,60812
116	1,60905
117	1,60998
118	1,61091
119	1,61185
120	1,61278
121	1,61371
122	1,61465
123	1,61558
124	1,61651
125	1,61744
126	1,61837
127	1,61931
128	1,62024
129	1,62117
130	1,6221
131	1,62303
132	1,62396
133	1,62489
134	1,62583
135	1,62676
136	1,62769
137	1,62862
138	1,62955
139	1,63048
140	1,63141
